Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
245,Honda,Cr-V,Awd Diesel At,"Rs. 32,77,001",1597 cc,,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,57 litres,Diesel,1689 mm,4592 mm,1855 mm,SUV,5,,,18.3 km/litre,,1725 kg,9,208 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,120PS@4000RPM,300NM@2000rpm,Digital,Automatic,2660 mm,235 / 65 R18,,2 Zone Climate Control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger center airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Jaguar,Xe,S Petrol,"Rs. 44,98,000",1997 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,61 litres,Petrol,1416 mm,4691 mm,1850 mm,Sedan,4,,,11 km/litre,,1639 kg,8,125 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,250PS@5500RPM,365Nm@1500-4000rpm,Analog,Automatic,2835 mm,205 / 55 R17,,2 Zone Climate Control,,,Yes,2150 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",6,10.5+/-0.5,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Jaguar,Xe,S Diesel,"Rs. 44,98,000",1999 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,56 litres,Diesel,1416 mm,4691 mm,1850 mm,Sedan,4,,,11 km/litre,,1611 kg,8,125 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,180PS@4000rpm,430NM@1750-2500rpm,Analog,Automatic,2835 mm,205 / 55 R17,,2 Zone Climate Control,,,Yes,2190 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",6,15.5+/-0.5,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Jaguar,Xe,Se Diesel,"Rs. 46,33,000",1999 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,56 litres,Diesel,1416 mm,4691 mm,1850 mm,Sedan,4,,,11 km/litre,,1611 kg,8,125 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,180PS@4000rpm,430NM@1750-2500rpm,Analog,Automatic,2835 mm,205 / 55 R17,,2 Zone Climate Control,,,Yes,2190 kg,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6,15.5+/-0.5,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Jaguar,Xe,Se Petrol,"Rs. 46,33,000",1997 cc,4,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,61 litres,Petrol,1416 mm,4691 mm,1850 mm,Sedan,4,,,11 km/litre,,1639 kg,8,125 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,250PS@5500RPM,365Nm@1500-4000rpm,Analog,Automatic,2835 mm,205 / 55 R17,,2 Zone Climate Control,,,Yes,2150 kg,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6,10.5+/-0.5,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Jaguar,Xf,2.0 Prestige,"Rs. 54,36,329",1999 cc,4,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,74 litres,Petrol,1460 mm,4961 mm,2091 mm,Sedan,4,5.7 km/litre,13.12 km/litre,13.12 km/litre,,1730 kg,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,247PS@5500rpm,340Nm@1750-2000RPM,Analog,Automatic,2960 mm,235/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",2 Zone Climate Control,,,Yes,2210 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6,10:01,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Jaguar,Xf,2.0 Portfolio,"Rs. 60,73,446",1999 cc,4,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,82 litres,Petrol,1457 mm,5252 mm,1899 mm,Sedan,4,5.7 km/litre,13.12 km/litre,13.12 km/litre,,1871 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,247PS@5500rpm,340Nm@1750-2000RPM,Analog,Automatic,3157 mm,235/55R18,"3 Years/1,00,000 Kms (Whichever comes earlier)",2 Zone Climate Control,,,Yes,2210 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6,10:01,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Jaguar,Xf,2.0 Portfolio Diesel,"Rs. 61,38,811",1999 cc,4,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,83 litres,Diesel,1457 mm,5252 mm,1899 mm,Sedan,4,5.7 km/litre,19.33 km/litre,19.33 km/litre,,1871 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,180ps@5500rpm,430Nm@1750-2000rpm,Analog,Automatic,3157 mm,235/55R18,"3 Years/1,00,000 Kms (Whichever comes earlier)",2 Zone Climate Control,,,Yes,2250 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6,15.5:1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Jaguar,Xf,2.0 Prestige Diesel,"Rs. 55,06,622",1999 cc,4,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,66 litres,Diesel,1457 mm,5067 mm,2091 mm,Sedan,4,5.7 km/litre,19.33 km/litre,19.33 km/litre,,1729 kg,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,180ps@5500rpm,430Nm@1750-2000rpm,Analog,Automatic,2960 mm,235/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2250 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6,15.5:1,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Jaguar,Xf,2.0 Pure Diesel,"Rs. 49,77,080",1999 cc,4,4,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,66 litres,Diesel,1457 mm,5067 mm,2091 mm,Sedan,4,5.7 km/litre,19.33 km/litre,19.33 km/litre,,1687 kg,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,180ps@5500rpm,430Nm@1750-2000rpm,Analog,Automatic,2960 mm,235/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",2 Zone Climate Control,,,Yes,2250 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6,15.5:1,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Toyota,Land Cruiser Prado,Vx L,"Rs. 96,30,000",2982 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,87 litres,Diesel,1880 mm,4840 mm,1885 mm,SUV,5,7 km/litre,11 km/litre,11.13 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,173PS@3400rpm,410Nm@1600-2800rpm,Analog,Automatic,2790 mm,265/60R18,3 years /100000 Kms (years/distance whichever comes first),3 Zone climate control,,,Yes,2990 kg,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",7,17.9:1,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Maruti Suzuki,Alto,Std,"Rs. 2,94,800",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,730 kg,5,160 mm,Solid Disc,Drum,,,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),,,,,1185 kg,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Maruti Suzuki,Alto,Std (O),"Rs. 2,99,900",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,732 kg,5,160 mm,Solid Disc,Drum,,,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),,,,Yes,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Maruti Suzuki,Alto,Lxi,"Rs. 3,52,900",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,755 kg,5,160 mm,Solid Disc,Drum,Electric Power,Only Front Windows,47hp@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1185 kg,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Maruti Suzuki,Alto,Lxi (O),"Rs. 3,57,200",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,757 kg,5,160 mm,Solid Disc,Drum,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,,Manual Air conditioning with cooling and heating,,,Yes,1185 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Maruti Suzuki,Alto,Vxi,"Rs. 3,76,100",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,762 kg,5,160 mm,Solid Disc,Drum,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Maruti Suzuki,Alto,Lxi Cng (Cng +,"Rs. 4,05,570",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,CNG + Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,755 kg,5,160 mm,Solid Disc,Drum,Electric Power,Only Front Windows,47hp@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1185 kg,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,"Rs. 4,09,190",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,CNG + Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,757 kg,5,160 mm,Solid Disc,Drum,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,,Manual Air conditioning with cooling and heating,,,Yes,1185 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Maruti Suzuki,Alto,Vxi Plus,"Rs. 3,89,600",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5,,,22.05 km/litre,,762 kg,5,160 mm,Solid Disc,Drum,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1185 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Maruti Suzuki,S-Presso,Std,"Rs. 3,70,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,,,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,,,,Yes,1170 kg,Driver frontal airbag,1,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Maruti Suzuki,S-Presso,Std (O),"Rs. 3,76,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,,,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Maruti Suzuki,S-Presso,Lxi,"Rs. 4,09,000",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,Driver frontal airbag,1,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Maruti Suzuki,S-Presso,Lxi (O),"Rs. 4,15,000",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Maruti Suzuki,S-Presso,Vxi,"Rs. 4,32,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,Driver frontal airbag,1,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Maruti Suzuki,S-Presso,Vxi (O),"Rs. 4,38,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Maruti Suzuki,S-Presso,Vxi Ags,"Rs. 4,75,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,Analog,AMT,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,Driver frontal airbag,1,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Maruti Suzuki,S-Presso,Vxi+,"Rs. 4,56,000",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,67PS@5500rpm,90Nm@3500rpm,Analog,Manual,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Maruti Suzuki,S-Presso,Vxi (O) Ags,"Rs. 4,81,500",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,Analog,AMT,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Maruti Suzuki,S-Presso,Vxi+ Ags,"Rs. 4,99,000",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5,,,21.7 km/litre,,726 kg,5,,Ventilated Disc,Drum,Electric Power,All Windows,67PS@5500rpm,90Nm@3500rpm,Digital,AMT,2380 mm,145/80 R13,,Manual Air conditioning with cooling and heating,,,Yes,1170 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,155/80R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Maruti Suzuki,Celerio,Vxi,"Rs. 4,65,138",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,,,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Maruti Suzuki,Celerio,Vxi At,"Rs. 5,08,138",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,,,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Maruti Suzuki,Celerio,Zxi,"Rs. 4,90,924",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Maruti Suzuki,Celerio,Zxi (Opt),"Rs. 5,31,279",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1350 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Maruti Suzuki,Celerio,Vxi Cng Mt,"Rs. 5,30,000",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,CNG,1560 mm,3600 mm,1600 mm,Hatchback,5,,,,31.79 km/kg,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,59PS@6000rpm,78Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Maruti Suzuki,Celerio,Zxi Ags,"Rs. 5,33,924",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1250 kg,Driver frontal airbag,1,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Maruti Suzuki,Celerio,Lxi Mt (O),"Rs. 4,34,659",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,155/80R13,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Maruti Suzuki,Celerio,Vxi (O) Mt,"Rs. 4,72,257",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Manual,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,Analog,Automatic,2425 mm,165/70R14,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",2,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
